rank,playerName,team,position,ecr,vECR
1,Christian McCaffrey,CAR,RB,1,0
2,Dalvin Cook,MIN,RB,2,0
3,Alvin Kamara,NO,RB,3,0
4,Ezekiel Elliott,DAL,RB,5,1
5,Aaron Jones,GB,RB,8,3
6,Austin Ekeler,LAC,RB,7,1
7,Saquon Barkley,NYG,RB,11,4
8,Derrick Henry,TEN,RB,6,-2
9,Najee Harris,PIT,RB,26,17
10,Davante Adams,GB,WR,4,-6
11,Stefon Diggs,BUF,WR,10,-1
12,Travis Kelce,KC,TE,14,2
13,Calvin Ridley,ATL,WR,13,0
14,Antonio Gibson,WAS,RB,20,6
15,Tyreek Hill,KC,WR,9,-6
16,Nick Chubb,CLE,RB,16,0
17,Jonathan Taylor,IND,RB,15,-2
18,Darren Waller,LV,TE,19,1
19,DeAndre Hopkins,ARI,WR,12,-7
20,Keenan Allen,LAC,WR,22,2
21,Justin Jefferson,MIN,WR,17,-4
22,Joe Mixon,CIN,RB,23,1
23,DK Metcalf,SEA,WR,18,-5
24,Clyde Edwards-Helaire,KC,RB,28,4
25,James Robinson,JAC,RB,39,14
26,A.J. Brown,TEN,WR,21,-5
27,David Montgomery,CHI,RB,36,9
28,D'Andre Swift,DET,RB,31,3
29,Chris Carson,SEA,RB,35,6
30,Allen Robinson,CHI,WR,24,-6
31,Terry McLaurin,WAS,WR,29,-2
32,CeeDee Lamb,DAL,WR,30,-2
33,Amari Cooper,DAL,WR,33,0
34,Cooper Kupp,LAR,WR,38,4
35,Gus Edwards,BAL,RB,60,25
36,Darrell Henderson,LAR,RB,56,20
37,George Kittle,SF,TE,27,-10
38,Julio Jones,TEN,WR,43,5
39,Tyler Lockett,SEA,WR,44,5
40,Diontae Johnson,PIT,WR,41,1
41,Chase Edmonds,ARI,RB,66,25
42,Robert Woods,LAR,WR,32,-10
43,Chris Godwin,TB,WR,34,-9
44,D.J. Moore,CAR,WR,40,-4
45,Mike Evans,TB,WR,37,-8
46,Brandon Aiyuk,SF,WR,55,9
47,Patrick Mahomes,KC,QB,25,-22
48,Kyler Murray,ARI,QB,46,-2
49,Tee Higgins,CIN,WR,47,-2
50,Adam Thielen,MIN,WR,48,-2
51,Josh Allen,BUF,QB,42,-9
52,Ja'Marr Chase,CIN,WR,68,16
53,Lamar Jackson,BAL,QB,53,0
54,Antonio Brown,TB,WR,91,37
55,Miles Sanders,PHI,RB,45,-10
56,Mike Davis,ATL,RB,51,-5
57,T.J. Hockenson,DET,TE,50,-7
58,Kyle Pitts,ATL,TE,54,-4
59,Dak Prescott,DAL,QB,59,0
60,Myles Gaskin,MIA,RB,58,-2
61,Josh Jacobs,LV,RB,49,-12
62,Kareem Hunt,CLE,RB,57,-5
63,Damien Harris,NE,RB,75,12
64,Kenny Golladay,NYG,WR,63,-1
65,Jerry Jeudy,DEN,WR,65,0
66,Trey Sermon,SF,RB,87,21
67,Javonte Williams,DEN,RB,72,5
68,Courtland Sutton,DEN,WR,73,5
69,Russell Wilson,SEA,QB,67,-2
70,Aaron Rodgers,GB,QB,71,1
71,Tyler Boyd,CIN,WR,70,-1
72,Chase Claypool,PIT,WR,62,-10
73,Odell Beckham,CLE,WR,61,-12
74,Robert Tonyan,GB,TE,97,23
75,DeVonta Smith,PHI,WR,93,18
76,Justin Herbert,LAC,QB,74,-2
77,Deebo Samuel,SF,WR,77,0
78,Mark Andrews,BAL,TE,52,-26
79,Robby Anderson,CAR,WR,69,-10
80,JuJu Smith-Schuster,PIT,WR,64,-16
81,Jarvis Landry,CLE,WR,89,8
82,Jaylen Waddle,MIA,WR,120,38
83,Marquez Callaway,NO,WR,191,108
84,Jakobi Meyers,NE,WR,152,68
85,Michael Gallup,DAL,WR,105,20
86,Tom Brady,TB,QB,82,-4
87,Melvin Gordon,DEN,RB,81,-6
88,Zack Moss,BUF,RB,103,15
89,Dallas Goedert,PHI,TE,94,5
90,Ryan Tannehill,TEN,QB,83,-7
91,Laviska Shenault,JAC,WR,88,-3
92,A.J. Dillon,GB,RB,113,21
93,Will Fuller,MIA,WR,85,-8
94,Jalen Hurts,PHI,QB,90,-4
95,Corey Davis,NYJ,WR,86,-9
96,Mike Williams,LAC,WR,106,10
97,Logan Thomas,WAS,TE,80,-17
98,Tyler Higbee,LAR,TE,101,3
99,Noah Fant,DEN,TE,78,-21
100,Mike Gesicki,MIA,TE,110,10
101,Irv Smith,MIN,TE,124,23
102,Matthew Stafford,LAR,QB,96,-6
103,J.D. McKissic,WAS,RB,127,24
104,Joe Burrow,CIN,QB,104,0
105,Raheem Mostert,SF,RB,79,-26
106,Marvin Jones,JAC,WR,111,5
107,Michael Carter,NYJ,RB,92,-15
108,Giovani Bernard,TB,RB,134,26
109,David Johnson,HOU,RB,114,5
110,Leonard Fournette,TB,RB,107,-3
111,Tony Pollard,DAL,RB,116,5
112,Trey Lance,SF,QB,162,50
113,Curtis Samuel,WAS,WR,99,-14
114,Trevor Lawrence,JAC,QB,122,8
115,Justin Fields,CHI,QB,146,31
116,Kirk Cousins,MIN,QB,123,7
117,Elijah Moore,NYJ,WR,135,18
