rank,playerName,team,position,ecr,vECR
1,Christian McCaffrey,CAR,RB,1,0
2,Dalvin Cook,MIN,RB,2,0
3,Ezekiel Elliott,DAL,RB,5,2
4,Alvin Kamara,NO,RB,3,-1
5,Aaron Jones,GB,RB,8,3
6,Austin Ekeler,LAC,RB,7,1
7,Saquon Barkley,NYG,RB,10,3
8,Derrick Henry,TEN,RB,6,-2
9,Najee Harris,PIT,RB,25,16
10,Davante Adams,GB,WR,4,-6
11,Stefon Diggs,BUF,WR,11,0
12,Travis Kelce,KC,TE,14,2
13,Calvin Ridley,ATL,WR,13,0
14,Antonio Gibson,WAS,RB,22,8
15,Tyreek Hill,KC,WR,9,-6
16,Nick Chubb,CLE,RB,16,0
17,Jonathan Taylor,IND,RB,15,-2
18,Darren Waller,LV,TE,19,1
19,DeAndre Hopkins,ARI,WR,12,-7
20,Keenan Allen,LAC,WR,21,1
21,Justin Jefferson,MIN,WR,17,-4
22,Joe Mixon,CIN,RB,23,1
23,DK Metcalf,SEA,WR,18,-5
24,Clyde Edwards-Helaire,KC,RB,29,5
25,James Robinson,JAC,RB,45,20
26,A.J. Brown,TEN,WR,20,-6
27,J.K. Dobbins,BAL,RB,39,12
28,David Montgomery,CHI,RB,36,8
29,D'Andre Swift,DET,RB,31,2
30,Chris Carson,SEA,RB,35,5
31,Allen Robinson,CHI,WR,24,-7
32,Terry McLaurin,WAS,WR,28,-4
33,CeeDee Lamb,DAL,WR,30,-3
34,Amari Cooper,DAL,WR,33,-1
35,Cooper Kupp,LAR,WR,38,3
36,Darrell Henderson,LAR,RB,47,11
37,George Kittle,SF,TE,27,-10
38,Julio Jones,TEN,WR,42,4
39,Tyler Lockett,SEA,WR,44,5
40,Diontae Johnson,PIT,WR,43,3
41,Chase Edmonds,ARI,RB,68,27
42,Robert Woods,LAR,WR,32,-10
43,Chris Godwin,TB,WR,34,-9
44,D.J. Moore,CAR,WR,40,-4
45,Mike Evans,TB,WR,37,-8
46,Brandon Aiyuk,SF,WR,56,10
47,Tee Higgins,CIN,WR,52,5
48,Patrick Mahomes,KC,QB,26,-22
49,Kyler Murray,ARI,QB,50,1
50,Adam Thielen,MIN,WR,48,-2
51,Ja'Marr Chase,CIN,WR,65,14
52,Josh Allen,BUF,QB,41,-11
53,Antonio Brown,TB,WR,92,39
54,Lamar Jackson,BAL,QB,55,1
55,Miles Sanders,PHI,RB,46,-9
56,Mike Davis,ATL,RB,53,-3
57,T.J. Hockenson,DET,TE,51,-6
58,Kyle Pitts,ATL,TE,57,-1
59,Myles Gaskin,MIA,RB,60,1
60,Dak Prescott,DAL,QB,59,-1
61,Josh Jacobs,LV,RB,49,-12
62,Kareem Hunt,CLE,RB,58,-4
63,Damien Harris,NE,RB,78,15
64,Kenny Golladay,NYG,WR,61,-3
65,Jerry Jeudy,DEN,WR,71,6
66,Trey Sermon,SF,RB,90,24
67,Javonte Williams,DEN,RB,73,6
68,Courtland Sutton,DEN,WR,72,4
69,Tyler Boyd,CIN,WR,69,0
70,Russell Wilson,SEA,QB,66,-4
71,Aaron Rodgers,GB,QB,70,-1
72,Chase Claypool,PIT,WR,64,-8
73,Odell Beckham,CLE,WR,62,-11
74,Robert Tonyan,GB,TE,97,23
75,DeVonta Smith,PHI,WR,91,16
76,Deebo Samuel,SF,WR,77,1
77,Justin Herbert,LAC,QB,74,-3
78,Mark Andrews,BAL,TE,54,-24
79,Robby Anderson,CAR,WR,67,-12
80,JuJu Smith-Schuster,PIT,WR,63,-17
81,Jarvis Landry,CLE,WR,87,6
82,Jaylen Waddle,MIA,WR,124,42
83,Marquez Callaway,NO,WR,232,149
84,Jakobi Meyers,NE,WR,162,78
85,Michael Gallup,DAL,WR,104,19
86,Gus Edwards,BAL,RB,126,40
87,Tom Brady,TB,QB,84,-3
88,Melvin Gordon,DEN,RB,82,-6
89,Zack Moss,BUF,RB,103,14
90,Dallas Goedert,PHI,TE,88,-2
91,Ryan Tannehill,TEN,QB,83,-8
92,Laviska Shenault Jr.,JAC,WR,96,4
93,AJ Dillon,GB,RB,116,23
94,Will Fuller V,MIA,WR,85,-9
95,Jalen Hurts,PHI,QB,89,-6
96,Corey Davis,NYJ,WR,93,-3
97,Mike Williams,LAC,WR,108,11
98,Logan Thomas,WAS,TE,79,-19
99,Tyler Higbee,LAR,TE,106,7
100,Noah Fant,DEN,TE,76,-24
101,Mike Gesicki,MIA,TE,111,10
102,Irv Smith Jr.,MIN,TE,118,16
103,Matthew Stafford,LAR,QB,95,-8
104,J.D. McKissic,WAS,RB,128,24
105,Joe Burrow,CIN,QB,102,-3
106,Raheem Mostert,SF,RB,80,-26
107,Marvin Jones Jr.,JAC,WR,110,3
108,Michael Carter,NYJ,RB,86,-22
109,David Johnson,HOU,RB,107,-2
110,Leonard Fournette,TB,RB,105,-5
111,Tony Pollard,DAL,RB,119,8
112,Curtis Samuel,WAS,WR,98,-14
113,Trey Lance,SF,QB,166,53
114,Elijah Moore,NYJ,WR,143,29
115,Trevor Lawrence,JAC,QB,122,7
116,Justin Fields,CHI,QB,146,30
