rank,playerName,team,position,ecr,vECR
1,Christian McCaffrey,CAR,RB,1,0
2,Dalvin Cook,MIN,RB,2,0
3,Derrick Henry,TEN,RB,4,1
4,Ezekiel Elliott,DAL,RB,5,1
5,Alvin Kamara,NO,RB,3,-2
6,Aaron Jones,GB,RB,6,0
7,Austin Ekeler,LAC,RB,13,6
8,Saquon Barkley,NYG,RB,8,0
9,Davante Adams,GB,WR,7,-2
10,Antonio Gibson,WAS,RB,17,7
11,Nick Chubb,CLE,RB,10,-1
12,Najee Harris,PIT,RB,21,9
13,Jonathan Taylor,IND,RB,12,-1
14,Stefon Diggs,BUF,WR,11,-3
15,Travis Kelce,KC,TE,14,-1
16,Tyreek Hill,KC,WR,9,-7
17,Calvin Ridley,ATL,WR,15,-2
18,Joe Mixon,CIN,RB,18,0
19,J.K. Dobbins,BAL,RB,30,11
20,DeAndre Hopkins,ARI,WR,16,-4
21,Clyde Edwards-Helaire,KC,RB,25,4
22,D.K. Metcalf,SEA,WR,19,-3
23,Keenan Allen,LAC,WR,23,0
24,A.J. Brown,TEN,WR,20,-4
25,Justin Jefferson,MIN,WR,22,-3
26,Darren Waller,LV,TE,24,-2
27,Chris Carson,SEA,RB,31,4
28,D'Andre Swift,DET,RB,32,4
29,David Montgomery,CHI,RB,33,4
30,Allen Robinson II,CHI,WR,26,-4
31,Terry McLaurin,WAS,WR,27,-4
32,CeeDee Lamb,DAL,WR,29,-3
33,Amari Cooper,DAL,WR,38,5
34,Darrell Henderson,LAR,RB,39,5
35,Cooper Kupp,LAR,WR,45,10
36,George Kittle,SF,TE,34,-2
37,Julio Jones,TEN,WR,41,4
38,Tyler Lockett,SEA,WR,46,8
39,Diontae Johnson,PIT,WR,48,9
40,Robert Woods,LAR,WR,36,-4
41,Chris Godwin,TB,WR,37,-4
42,Mike Evans,TB,WR,35,-7
43,Brandon Aiyuk,SF,WR,58,15
44,Miles Sanders,PHI,RB,40,-4
45,D.J. Moore,CAR,WR,44,-1
46,Tee Higgins,CIN,WR,59,13
47,Adam Thielen,MIN,WR,50,3
48,Ja'Marr Chase,CIN,WR,65,17
49,Kenny Golladay,NYG,WR,64,15
50,Chase Edmonds,ARI,RB,62,12
51,Josh Jacobs,LV,RB,43,-8
52,T.J. Hockenson,DET,TE,55,3
53,Kyle Pitts,ATL,TE,56,3
54,Patrick Mahomes II,KC,QB,28,-26
55,Kyler Murray,ARI,QB,51,-4
56,Josh Allen,BUF,QB,42,-14
57,Lamar Jackson,BAL,QB,57,0
58,Damien Harris,NE,RB,63,5
59,James Robinson,JAC,RB,69,10
60,Mike Davis,ATL,RB,47,-13
61,Kareem Hunt,CLE,RB,49,-12
62,Antonio Brown,TB,WR,102,40
63,Jerry Jeudy,DEN,WR,80,17
64,Travis Etienne,JAC,RB,52,-12
65,Trey Sermon,SF,RB,76,11
66,Dak Prescott,DAL,QB,61,-5
67,Javonte Williams,DEN,RB,60,-7
68,Courtland Sutton,DEN,WR,77,9
69,Russell Wilson,SEA,QB,67,-2
70,Chase Claypool,PIT,WR,71,1
71,Odell Beckham Jr.,CLE,WR,66,-5
72,Aaron Rodgers,GB,QB,70,-2
73,DeVonta Smith,PHI,WR,100,27
74,Robert Tonyan,GB,TE,97,23
75,Robby Anderson,CAR,WR,79,4
76,Justin Herbert,LAC,QB,75,-1
77,Deebo Samuel,SF,WR,92,15
78,Mark Andrews,BAL,TE,54,-24
79,Michael Gallup,DAL,WR,116,37
80,Gus Edwards,BAL,RB,101,21
81,Jaylen Waddle,MIA,WR,127,46
82,Laviska Shenault Jr.,JAC,WR,110,28
83,JuJu Smith-Schuster,PIT,WR,78,-5
84,Jarvis Landry,CLE,WR,106,22
85,Melvin Gordon III,DEN,RB,72,-13
86,Tom Brady,TB,QB,86,0
87,Myles Gaskin,MIA,RB,53,-34
88,Zack Moss,BUF,RB,85,-3
89,Dallas Goedert,PHI,TE,90,1
90,Ryan Tannehill,TEN,QB,84,-6
91,Tyler Boyd,CIN,WR,82,-9
92,AJ Dillon,GB,RB,99,7
93,Will Fuller V,MIA,WR,96,3
94,Jalen Hurts,PHI,QB,98,4
95,Mike Williams,LAC,WR,114,19
96,Marvin Jones Jr.,JAC,WR,122,26
97,Tyler Higbee,LAR,TE,103,6
98,Noah Fant,DEN,TE,81,-17
99,Logan Thomas,WAS,TE,89,-10
100,Irv Smith Jr.,MIN,TE,117,17
101,Jonnu Smith,NE,TE,119,18
102,Matthew Stafford,LAR,QB,95,-7
103,Raheem Mostert,SF,RB,68,-35
104,Joe Burrow,CIN,QB,104,0
105,Michael Carter,NYJ,RB,73,-32
106,Jakobi Meyers,NE,WR,165,59
107,Curtis Samuel,WAS,WR,108,1
108,David Johnson,HOU,RB,93,-15
109,Tony Pollard,DAL,RB,111,2
110,J.D. McKissic,WAS,RB,131,21
111,D.J. Chark Jr.,JAC,WR,91,-20
112,Trey Lance,SF,QB,186,74
113,Trevor Lawrence,JAC,QB,124,11
114,Justin Fields,CHI,QB,160,46
115,Cam Newton,NE,QB,223,108
116,Mike Gesicki,MIA,TE,113,-3
